,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1588,6965,"SOUP,PEA,LO NA,PREP W/ EQ VOLUME H2O",62,3.2,9.88,1.9,3.19,12.0,10.0,0.896
1290,6147,"SOUP,BF MUSHROOM,CND,COND",61,4.6,5.2,0.2,,4.0,709.0,2.2
1343,6230,"SOUP,CLAM CHOWDER,NEW ENG,CND,PREP W/ EQ VLM LOFAT (2%) MILK",61,3.24,7.46,0.3,2.81,70.0,273.0,1.362
1227,6028,"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",61,1.74,9.74,1.2,2.7,19.0,698.0,0.61
1236,6042,"SOUP,MUSHROOM BARLEY,CND,COND",61,1.5,9.6,,,10.0,573.0,1.15
1472,6449,"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",61,3.2,9.88,1.9,3.19,12.0,336.0,0.896
1566,6733,"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",61,3.9,8.2,,,,707.0,1.047
1224,6025,"SOUP,CHICK VEG,CND,COND",61,2.94,7.01,0.7,1.26,14.0,706.0,1.73
1365,6256,"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",61,2.78,5.64,0.1,2.62,69.0,354.0,3.077
1353,6241,"CAMPBELL'S,CHNKY MICRO BOWLS,BF W/ CONTRY VEG,RTS",61,4.08,8.57,2.0,1.22,8.0,367.0,
1364,6253,"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME MILK",60,2.33,6.92,0.2,,67.0,230.0,2.2199999999999998
1256,6068,"SOUP,VEGETARIAN VEG,CND,COND",59,1.72,9.78,0.5,3.13,17.0,516.0,0.92
1578,6955,"SOUP,CRM OF CHICK,CND,COND,RED NA",58,1.8,9.5,0.4,0.39,11.0,357.0,0.9
1546,6622,"SMART SOUP,INDIAN BEAN MASALA",57,3.3,10.5,2.6,2.3,22.0,92.0,
1453,6426,"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",57,2.49,9.23,1.2,2.49,18.0,388.0,1.104
1462,6438,"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",57,2.86,7.76,0.8,2.45,8.0,327.0,
1433,6399,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",57,2.86,8.57,0.8,1.63,8.0,347.0,
1363,6252,"CAMPBELL'S,CHUNKY MICRO BOWLS,SIRL BRGER W/CNTRY VEG,RTS",57,3.27,7.35,1.2,1.63,8.0,327.0,
1426,6389,"CAMPBELL'S CHUNKY SOUPS,BF W/ WHITE & WILD RICE SOUP",57,3.27,9.8,0.8,2.04,8.0,363.0,
