,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
6828,21303,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,THICK CRUST",287,11.49,31.84,2.2,2.93,148.0,684.0,8.57
6977,21498,"PIZZA HUT 14"" SAUSAGE PIZZA,PAN CRUST",287,11.08,29.56,2.0,1.82,132.0,596.0,9.128
6784,21259,"BURGER KING,ORIGINAL CHICK SNDWCH",286,12.14,26.22,2.4,3.02,46.0,638.0,6.427
6668,21022,"FAST FOODS,ENG MUFFIN,W/EGG,CHS,&SAUSAGE",286,13.38,17.44,0.2,1.49,168.0,548.0,13.693
6777,21251,"BURGER KING, CHSBRGR",286,14.57,23.71,1.0,4.49,93.0,602.0,12.546
6695,21099,"FAST FOODS,CHSBURGER; SINGLE,LRG PATTY; W/ CONDMNT,VEG & HAM",286,15.55,13.01,,,119.0,674.0,15.746
6691,21095,"FAST FOODS,CHSEBURGER; DBLE,REG,PATTY & BN; W/ CONDMNT & VEG",285,13.04,23.3,,,74.0,404.0,11.143
6854,21341,"MCDONALD'S,BIG BRKFST",285,10.16,17.5,1.1,0.93,51.0,549.0,13.777000000000001
6984,21507,"WENDY'S,DOUBLE STACK,W/ CHS",285,18.53,15.35,,3.87,73.0,477.0,14.119
6871,21363,"MCDONALD'S,DELUXE BRKFST,W/ SYRUP & MARGARINE",285,7.56,29.48,1.0,9.88,50.0,437.0,9.859
6959,21478,"DIGIORNO PIZZA,PEPPERONI TOPPING,THIN CRISPY CRUST,FRZ,BKD",283,13.22,28.67,2.8,,209.0,663.0,9.327
6845,21329,"MCDONALD'S,SAUSAGE,EGG & CHS MCGRIDDLES",283,10.77,22.04,0.6,7.9,96.0,652.0,12.367
6883,21385,"BURGER KING,CROISSAN'WICH W/ EGG & CHS",283,10.35,24.79,0.7,4.03,231.0,650.0,11.434000000000001
6806,21281,"DOMINO'S 14"" PEPPERONI PIZZA,ULTIMATE DEEP DISH CRUST",283,11.52,31.89,2.4,3.91,149.0,693.0,8.474
6693,21097,"FAST FOODS,CHESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT & BACON",282,15.78,18.89,1.3,4.63,137.0,674.0,11.553
6759,21232,"MCDONALD'S, FLT-O-FSH",282,11.26,26.39,1.4,3.67,120.0,434.0,6.838
6690,21094,"FAST FOODS,CHEESEBURGER,DOUBLE,REG PATTY & BUN,W/ CONDMNT",282,16.24,17.97,1.0,4.16,150.0,617.0,12.961
6904,21411,"FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT",282,15.95,22.99,0.2,2.97,93.0,642.0,10.416
6827,21302,"FAST FD,PIZZA CHAIN,14"" PIZZA,PEPPERONI TOPPING,REG CRUST",282,11.74,31.98,2.3,3.26,153.0,685.0,8.945
6962,21482,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,THICK CRUST",282,11.06,30.36,2.3,2.82,143.0,637.0,8.745999999999999
6856,21344,"MCDONALD'S,DOUBLE CHEESEBURGER",282,15.5,18.79,0.8,4.23,178.0,668.0,12.653
6983,21506,"BURGER KING,DOUBLE CHEESEBURGER",282,16.83,17.43,,4.17,120.0,562.0,13.001
6890,21395,"FAST FOODS,CHEESEBURGER; DOUBLE,REG PATTY; W/ CONDMNT",282,16.24,17.97,0.9,4.16,150.0,617.0,12.961
6799,21274,"PIZZA HUT 12"" PEPPERONI PIZZA,HAND-TOSSED CRUST",280,12.86,31.55,1.7,3.67,155.0,801.0,9.178999999999998
6797,21272,"PIZZA HUT 12"" CHS PIZZA,PAN CRUST",280,11.73,29.93,1.7,3.21,208.0,624.0,8.397
6775,21249,"BURGER KING,FRENCH FR",280,3.23,38.7,2.9,0.51,17.0,279.0,5.407
6964,21484,"FAST FD,PIZZA CHAIN,14"" PIZZA,SAUSAGE TOPPING,REG CRUST",280,11.5,30.62,2.3,3.32,144.0,633.0,9.082
6954,21473,"DIGIORNO PIZZA,CHS TOPPING,CHS STUFFED CRUST,FRZ,BKD",279,13.48,29.86,1.9,,235.0,806.0,8.535
6957,21476,"DIGIORNO PIZZA,PEPPERONI TOPPING,CHS STUFFED CRUST,FRZ,BKD",279,13.92,29.46,2.1,,226.0,753.0,8.296
6700,21106,"FAST FOODS,FISH SNDWCH,W/TARTAR SAU&CHS",279,11.26,26.39,0.8,3.67,120.0,434.0,6.838
6853,21340,"MCDONALD'S,SAUSAGE BURRITO",277,11.1,22.97,1.2,2.57,132.0,744.0,11.477
6656,21006,"FAST FOODS,BISCUIT W/ EGG & STEAK",277,12.12,14.37,,,93.0,600.0,13.719999999999999
6996,21519,"FAST FOODS,BRKFST BURRITO,W/ EGG,CHS,& SAUSAGE",277,11.1,22.97,1.2,2.57,132.0,744.0,11.477
6974,21495,"DOMINO'S 14"" SAUSAGE PIZZA,ULTIMATE DEEP DISH CRUST",277,11.03,31.17,2.6,3.82,154.0,677.0,8.363
6758,21230,"FAST FOODS,CRISPY CHICK FILET SNDWCH,W/ LETTUCE & MAYO",276,10.94,27.4,1.4,3.4,72.0,617.0,6.538
6819,21294,"PIZZA HUT 14"" CHS PIZZA,PAN CRUST",276,10.85,32.85,2.1,2.47,192.0,580.0,7.145
7000,21523,"MCDONALD'S,RANCH SNACK WRAP,CRISPY",275,11.48,23.22,1.3,2.48,88.0,607.0,8.244
6994,21517,"FAST FOODS,CRISPY CHICK IN TORTILLA,W/ LTTC,CHS,& RANCH SAU",275,11.48,23.22,1.3,2.48,88.0,607.0,8.244
6818,21293,"PIZZA HUT 14"" CHS PIZZA,HAND-TOSSED CRUST",275,11.98,33.42,2.4,3.13,209.0,674.0,7.869
6988,21511,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,STUFFED CRUST",274,12.23,30.0,1.7,2.9,238.0,615.0,8.596
6913,21421,"KFC,CRISPY CHICK STRIPS",274,20.25,13.66,1.4,0.0,25.0,948.0,7.195
6867,21359,"MCDONALD'S,SAUSAGE MCMUFFIN W/ EGG",274,12.59,17.28,0.9,1.57,172.0,572.0,12.589
6938,21456,"POPEYES,FRIED CHICK,MILD,BREAST,MEAT & SKN W/ BREADING",274,21.67,9.83,0.4,0.0,23.0,540.0,13.046
6989,21512,"PIZZA HUT 14"" CHS PIZZA,STUFFED CRUST",274,12.23,30.0,1.7,2.9,238.0,615.0,8.596
6652,21002,FAST FOODS  BISCUIT  W/ EGG,274,8.53,23.46,0.6,,60.0,655.0,10.148
6952,21471,"FAST FOODS,FRIED CHICK,THIGH,MEAT & SKN & BREADING",274,19.23,8.68,0.1,0.0,54.0,747.0,13.309000000000001
6930,21439,"KFC,FRIED CHICK,EX CRISPY,DRUMSTK,MEAT & SKN W/ BREADING",274,20.62,7.96,,,25.0,632.0,9.936
6696,21100,"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY,W/ CONDMNT & VEG",273,14.72,15.37,,,93.0,445.0,13.576
6973,21494,"DOMINO'S 14"" SAUSAGE PIZZA,CLASSIC HAND-TOSSED CRUST",273,11.08,31.84,2.4,3.92,137.0,594.0,7.973000000000001
6805,21280,"DOMINO'S 14"" PEPPERONI PIZZA,CLASSIC HAND-TOSSED CRUST",273,11.25,31.86,2.1,3.69,141.0,611.0,8.147
6863,21355,"MCDONALD'S,MCCHICKEN SNDWCH",273,10.43,27.97,1.3,3.57,88.0,624.0,6.747
6873,21365,"MCDONALD'S,HOTCAKES (WITH 2 PATS MARGARINE & SYRUP)",272,4.05,46.08,0.9,20.58,57.0,283.0,1.681
6843,21327,"MCDONALD'S,BACON,EGG & CHS MCGRIDDLES",272,12.03,26.19,0.8,9.56,109.0,673.0,8.887
6832,21307,"FAST FOODS,GRIDDLE CAKE SNDWCH,EGG,CHS,& BACON",272,12.03,26.19,0.8,9.56,109.0,718.0,8.756
6891,21396,"FAST FOODS,CHEESEBURGER; DOUBLE,LRG PATTY; W/ CONDMNT",272,16.96,14.43,1.0,3.49,106.0,480.0,12.328
6671,21026,"FAST FOODS,POTATOES,HASH BROWNS,RND PIECES OR PATTY",272,2.58,28.88,2.7,0.56,19.0,566.0,10.367
6840,21319,"MCDONALD'S,HASH BROWN",271,2.48,28.56,2.8,0.54,19.0,580.0,10.382
6796,21271,"PIZZA HUT 12"" CHS PIZZA,HAND-TOSSED CRUST",271,11.93,31.22,1.8,3.37,209.0,685.0,7.959
6896,21401,"FAST FOODS,CHICK TENDERS",271,19.22,17.25,1.2,0.4,17.0,769.0,7.323
6909,21417,"POPEYES,MILD CHICK STRIPS,ANALYZED 2006",271,19.2,19.31,0.8,0.0,12.0,922.0,11.643
6825,21300,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,THICK CRUST",271,10.81,33.17,2.2,3.34,179.0,597.0,6.821
6686,21090,"FAST FOODS,CHEESEBURGER; SINGLE,REG PATTY,W/ CONDMNT",270,13.49,25.46,1.9,5.24,123.0,628.0,10.832
6927,21436,"KFC,FRIED CHICK,ORIGINAL RECIPE,THIGH,MEAT & SKN W/ BREADING",269,18.9,8.46,0.0,0.0,64.0,781.0,12.731000000000002
6893,21398,"FAST FOODS,CHEESEBURGER; SINGLE,LRG PATTY; W/ CONDMNT",269,15.21,19.72,1.2,3.6,179.0,591.0,12.992
6987,21510,"WENDY'S,DAVE'S HOT 'N JUICY 1/4 LB,SINGLE",268,13.69,17.73,1.1,4.5,73.0,473.0,11.098
6705,21111,"FAST FOODS,HAMBURGER; DOUBLE,REG PATTY; W/ CONDMNT",268,14.8,18.02,,,43.0,345.0,12.152999999999999
6929,21438,"KFC,FRIED CHICK,EX CRISPY,BREAST,MEAT & SKN W/ BREADING",268,21.24,8.47,,,27.0,607.0,8.959999999999999
6892,21397,"FAST FOODS,CHESEBRGER; SING,LRG PATY; W/ CONDMNT,VEG & MAYO",268,13.69,17.73,1.1,4.5,73.0,473.0,11.098
6709,21115,"FAST FOODS,HAMBURGER,LRG,TRIPLE PATTY,W/CONDMNT",267,19.3,11.04,,,25.0,275.0,13.187000000000001
6951,21470,"FAST FOODS,FRIED CHICK,DRUMSTK,MEAT & SKN W/ BREADING",267,21.13,7.59,0.5,0.0,24.0,591.0,10.904
6824,21299,"FAST FD,PIZZA CHAIN,14"" PIZZA,CHS TOPPING,REG CRUST",266,11.39,33.33,2.3,3.58,188.0,598.0,7.073
6781,21255,"BURGER KING,DOUBLE WHOPPER,W/ CHS",266,14.47,13.52,1.6,3.61,78.0,387.0,13.296
