,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
4770,16032,"BEANS,KIDNEY,RED,MATURE SEEDS,RAW",337,22.53,61.29,15.2,2.1,83.0,12.0,0.236
4783,16045,"BEANS,SML WHITE,MATURE SEEDS,RAW",336,21.11,62.25,24.9,,173.0,12.0,0.40599999999999997
4757,16019,"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,RAW",335,23.03,60.05,24.7,,127.0,6.0,0.422
4787,16049,"BEANS,WHITE,MATURE SEEDS,RAW",333,23.36,60.27,15.2,2.11,240.0,16.0,0.293
4765,16027,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,RAW",333,23.58,60.01,24.9,2.23,143.0,24.0,0.184
4768,16030,"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,RAW",330,24.37,59.8,24.9,,195.0,11.0,0.05499999999999999
4773,16035,"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,RAW",329,25.33,58.33,24.9,,131.0,13.0,0.1
4741,16001,"BEANS,ADZUKI,MATURE SEEDS,RAW",329,19.87,62.9,12.7,,66.0,5.0,0.241
4743,16003,"BEANS,ADZUKI,MATURE SEEDS,CND,SWTND",237,3.8,55.01,,,22.0,218.0,0.013999999999999999
5006,16409,"SOYBEANS,MATURE SEEDS,CKD,BLD,W/SALT",172,18.21,8.36,6.0,2.36,102.0,237.0,3.278
4845,16109,"SOYBEANS,MATURE CKD,BLD,WO/SALT",172,18.21,8.36,6.0,3.0,102.0,1.0,3.278
2850,11048,"BEANS,PINTO,IMMAT SEEDS,FRZ,UNPREP",170,9.8,32.5,5.7,,58.0,92.0,0.098
3337,11720,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",162,9.31,30.87,5.4,,52.0,319.0,0.093
2851,11049,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,WO/SALT",162,9.31,30.87,5.4,,52.0,83.0,0.093
4745,16005,"BEANS,BAKED,HOME PREPARED",155,5.54,21.63,5.5,,61.0,422.0,4.0809999999999995
