,id,Name,Calories,Protein_(g),Carbs_(g),Fiber_(g),Sugar_(g),Calcium_(mg),Sodium_(mg),Total_Fat_(g)
1408,6358,"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK",79,2.51,11.73,0.2,,74.0,442.0,2.0
1422,6383,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP",78,2.04,9.39,0.8,1.25,16.0,322.0,
1354,6242,"CAMPBELL'S CHUNKY MICROWAVABLE BWLS,CHCK DMPLINGS SOUP",78,3.27,7.35,1.2,0.82,8.0,363.0,
1478,6459,"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",78,4.9,12.24,2.0,2.04,8.0,318.0,
1459,6433,"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",78,2.45,6.94,1.2,0.41,8.0,327.0,
1244,6050,"SOUP,PEA,SPLIT W/HAM,CND,CHUNKY,RTS",77,4.62,11.17,1.7,1.91,14.0,301.0,1.34
1330,6216,"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME MILK",77,3.01,6.04,0.1,,73.0,362.0,3.67
1563,6729,"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",77,4.2,6.8,2.3,,,361.0,2.6500000000000004
1564,6730,"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",76,5.2,11.3,,,,343.0,0.704
1440,6406,"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",75,3.99,8.8,,,35.0,437.0,1.94
1358,6246,"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME MILK",75,2.74,7.4,0.3,,72.0,405.0,2.95
1473,6451,"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",75,4.08,11.05,0.9,,9.0,398.0,1.41
1446,6414,"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",74,4.49,12.24,3.3,2.04,24.0,318.0,
1246,6053,"SOUP,CRM OF POTATO,CND,COND",74,1.51,12.79,1.3,1.44,17.0,604.0,1.41
8526,36414,"RESTAURANT,LATINO,TRIPE SOUP",74,8.61,4.07,,,22.0,411.0,2.169
1327,6213,"CAMPBELL'S RED&WHITE,25% LESS NA TOMATO SOUP,COND",73,1.61,16.13,0.8,9.68,0.0,387.0,
1391,6333,"CAMPBELL'S RED & WHITE,CRM OF BROCCOLI SOUP,COND",73,1.61,9.68,0.8,2.42,16.0,605.0,2.016
1392,6334,"CAMPBELL'S RED & WHITE,CRM OF CELERY SOUP,COND",73,0.81,7.26,2.4,0.81,16.0,516.0,3.629
1611,6991,"HEALTHY REQUEST,TOMATO SOUP,COND",73,1.61,13.71,0.8,8.06,0.0,331.0,0.403
1248,6056,"SOUP,CRM OF SHRIMP,CND,COND",72,2.22,6.53,0.2,,14.0,685.0,3.77
8343,35073,"SOUP,FISH,HOMEMADE (ALASKA NATIVE)",72,7.4,5.6,,,35.0,30.0,
1229,6030,"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND",72,3.17,10.32,0.7,0.38,16.0,516.0,0.959
1212,6010,"SOUP,CRM OF CELERY,CND,COND",72,1.32,7.03,0.6,1.35,32.0,516.0,2.1500000000000004
1419,6377,"CAMPBELL'S,TOMATO SOUP,COND",71,1.46,15.22,1.1,8.23,13.0,377.0,0.0
1264,6082,"CAMPBELL'S RED & WHITE,CHICK NOODLEO'S SOUP,COND",71,2.38,11.9,0.8,1.59,,381.0,1.588
1414,6366,"CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND",71,3.17,13.49,2.4,2.38,16.0,516.0,0.397
1289,6146,"CAMPBELL'S RED & WHITE,BF W/ VEG & BARLEY SOUP,COND",71,3.97,11.9,2.4,1.59,0.0,706.0,1.191
1398,6341,"CAMPBELL'S,CRM OF POTATO SOUP,COND",71,1.51,13.25,1.3,1.44,17.0,604.0,0.6200000000000001
1216,6015,"SOUP,CHICK,CND,CHUNKY,RTS",71,5.06,6.88,0.6,0.87,10.0,354.0,1.97
1317,6192,"SPLIT PEA SOUP,CND,RED NA,PREP W/ H2O OR READY-TO SERVE",71,3.85,11.83,1.9,5.06,17.0,166.0,0.6699999999999999
1416,6373,"CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND",71,2.38,14.29,1.6,4.76,16.0,516.0,0.0
7782,27043,"SOUP,CLAM CHOWDER,NEW ENGLAND,RED NA,CND,RTS",70,2.33,5.68,0.8,0.0,14.0,194.0,1.609
1204,6001,"SOUP,CRM OF ASPARAGUS,CND,COND",69,1.82,8.52,0.4,0.72,23.0,669.0,1.5699999999999998
1599,6978,"SOUP,BF & MUSHROOM,LO NA,CHUNK STYLE",69,4.3,9.58,0.2,0.84,13.0,25.0,2.015
1596,6974,"SOUP,VEG CHICK,CND,PREP W/ H2O,LO NA",69,5.1,8.76,0.4,1.42,11.0,35.0,1.492
1222,6023,"SOUP,CHICK W/ RICE,CND,COND",68,1.84,11.57,0.9,0.23,41.0,645.0,1.1099999999999999
1234,6040,"SOUP,MINESTRONE,CND,COND",68,3.48,9.17,0.8,1.5,28.0,516.0,1.0
1369,6309,"CAMPBELL'S,CHICK W/ RICE SOUP,COND",68,1.84,11.28,0.9,0.23,41.0,645.0,1.21
1238,6044,"SOUP,MUSHROOM W/ BF STOCK,CND,COND",68,2.51,7.41,0.1,2.28,8.0,773.0,2.3600000000000003
1318,6193,"SPLIT PEA W/ HAM SOUP,CND,RED NA,PREP W/ H2O OR RTS",68,4.0,11.4,1.9,1.57,16.0,196.0,0.576
1211,6009,"SOUP,BF NOODLE,CND,COND",67,3.85,7.16,0.6,2.06,12.0,653.0,1.9
1257,6070,"SOUP,CHUNKY BF,CND,RTS",66,3.97,10.08,0.6,0.67,13.0,338.0,1.0190000000000001
1427,6391,"CAMPBELL'S CHUNKY,CREAMY CHICK & DUMPLINGS SOUP",66,2.32,7.09,1.5,1.09,16.0,339.0,1.2400000000000002
1324,6210,"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME MILK",66,2.29,5.86,0.3,,75.0,272.0,2.58
1259,6072,"SOUP,VEG W/ BF BROTH,CND,COND",66,2.42,10.7,1.3,1.64,14.0,515.0,0.81
1296,6159,"SOUP,TOMATO,CND,COND",66,1.46,15.22,1.1,8.23,13.0,377.0,0.251
1579,6956,"SOUP,TOMATO,CND,COND,RED NA",65,1.61,13.41,1.2,8.11,13.0,22.0,0.33399999999999996
1510,6546,CAMPBELL'S HOMESTYLE POTATO BROCCOLI CHS SOUP,65,1.22,6.94,1.2,1.22,16.0,265.0,
1394,6337,"CAMPBELL'S,CRM OF CHICK W/ HERBS SOUP,COND",65,1.61,7.26,0.0,0.81,0.0,645.0,2.42
1321,6201,"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME MILK",65,2.55,6.61,0.3,,70.0,420.0,2.18
1322,6208,"SOUP,CHICK VEG W/POTATO&CHS,CHUNKY,RTS",65,1.16,5.2,0.3,0.64,15.0,416.0,3.2409999999999997
